"","state_name","region","state_name_official","state_abbr","state_abbr_official","pop","pop_male","pop_female","afromexican","part_afromexican","indigenous","part_indigenous","value"
"1","Aguascalientes","01","Aguascalientes","AGS","Ags.",1312544,640091,672453,653,4559,153395,18716,0.139408281548965
"2","Baja California","02","Baja California","BC","BC",3315766,1650341,1665425,7445,10432,283055,38391,0.797828146716745
"3","Baja California Sur","03","Baja California Sur","BCS","BCS",712029,359137,352892,11032,5132,103034,11728,0.248537357650228
"4","Campeche","04","Campeche","CAMP","Camp.",899931,441276,458655,3554,6833,400811,13140,0.299815014136278
"5","Chiapas","07","Chiapas","CHPS","Chis.",5217908,2536721,2681187,4042,17265,1886104,52172,0.331566896151678
"6","Chihuahua","08","Chihuahua","CHIH","Chih.",3556574,1752275,1804299,2738,8886,401195,55433,0.762859375817937
"7","Ciudad de México","09","Distrito Federal","CDMX","DF",8918653,4231650,4687003,160353,46958,784605,175454,0.676376551022909
"8","Coahuila","05","Coahuila de Zaragoza","COAH","Coah.",2954915,1462612,1492303,2761,8137,204890,28588,0.683501516130636
"9","Colima","06","Colima","COL","Col.",711235,350791,360444,762,3314,145297,12373,1.52836453531987
"10","Durango","10","Durango","DGO","Dgo.",1754754,860382,894372,190,11290,139407,26420,0.588551286359093
"11","Guanajuato","11","Guanajuato","GTO","Gto.",5853677,2826369,3027308,2046,17867,534438,74078,0.256897084619491
"12","Guerrero","12","Guerrero","GRO","Gro.",3533251,1699059,1834192,229514,39067,1198362,53485,0.300789051716029
"13","Hidalgo","13","Hidalgo","HGO","Hgo.",2858359,1369025,1489334,2067,15536,1035059,41542,0.518400966299401
"14","Jalisco","14","Jalisco","JAL","Jal.",7844830,3835069,4009761,61140,27793,872531,122902,0.570769943682843
"15","México","15","México","MEX","Mex.",16187608,7834068,8353540,304274,73016,2751672,252917,0.682817500096111
"16","Michoacán","16","Michoacán de Ocampo","MICH","Mich.",4584471,2209747,2374724,3734,23214,1269309,91670,0.310854994227423
"17","Morelos","17","Morelos","MOR","Mor.",1903811,914906,988905,7945,9237,535249,39349,1.41874643478805
"18","Nayarit","18","Nayarit","NAY","Nay.",1181050,586000,595050,743,2810,262007,16729,0.853658820507368
"19","Nuevo León","19","Nuevo León","NL","NL",5119504,2541857,2577647,76241,18527,352282,58973,1.01601507124672
"20","Oaxaca","20","Oaxaca","OAX","Oax.",3967889,1888678,2079211,196213,37469,2607917,60665,0.627474754397934
"21","Puebla","21","Puebla","PUE","Pue.",6168883,2943677,3225206,7282,29041,2176593,116754,0.666217373707519
"22","Querétaro","22","Querétaro","QRO","Qro.",2038372,993436,1044936,2358,7744,390844,46962,0.350933065220472
"23","Quintana Roo","23","Quintana Roo","QROO","Q. Roo",1501562,751538,750024,8458,10613,667336,31128,0.638325405525229
"24","San Luis Potosí","24","San Luis Potosí","SLP","SLP",2717820,1317525,1400295,1066,13908,630604,45073,0.767582345885166
"25","Sinaloa","25","Sinaloa","SIN","Sin.",2966321,1464085,1502236,1148,7015,380625,43797,0.633578253566887
"26","Sonora","26","Sonora","SON","Son.",2850330,1410419,1439911,1586,8529,508165,45996,0.715506489156011
"27","Tabasco","27","Tabasco","TAB","Tab.",2395272,1171592,1223680,2652,21944,617203,35508,0.505386840581941
"28","Tamaulipas","28","Tamaulipas","TAM","Tamps.",3441698,1692186,1749512,10103,12367,216685,44805,0.273927423477005
"29","Tlaxcala","29","Tlaxcala","TLAX","Tlax.",1272847,614565,658282,788,5649,321310,23222,0.362315952554001
"30","Veracruz","30","Veracruz de Ignacio de la Llave","VER","Ver.",8112505,3909140,4203365,266163,63769,2373093,150329,0.831395167743928
"31","Yucatán","31","Yucatán","YUC","Yuc.",2097175,1027548,1069627,2555,18702,1371625,54806,0.265592727716991
"32","Zacatecas","32","Zacatecas","ZAC","Zac.",1579209,770368,808841,247,5079,120226,20893,0.480069322010098
